"filename", "language", "Dart", "YAML", "Markdown", "Groovy", "Properties", "Swift", "C++", "XML", "JSON", "HTML", "comment", "blank", "total"
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/intro_page_skeleton.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/iphone_image_container.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 38
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/loading_view.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/match_history_widget.dart", "Dart", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 7, 180
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/notifications_red_bubble.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/page_loading_view.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/profile_picture.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 47
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/profile_tile.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/text_form_field.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 35
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/update_first_blur.dart", "Dart", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 3, 76
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/user_card.dart", "Dart", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 58
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/user_image_small.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/user_image_small_empty_button.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 37
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/video.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/view_user.dart", "Dart", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 184
"/Users/shanehogan/development/white_ui_supabase4/lib/main.dart", "Dart", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 85
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/app_view/app_view.dart", "Dart", 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 14, 267
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/app_view/app_view_bloc.dart", "Dart", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 14, 139
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/app_view/app_view_event.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 48
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/app_view/app_view_state.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/feed/venue_screen.dart", "Dart", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 10, 279
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friend_list_screen.dart", "Dart", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 185
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friend_request_screen.dart", "Dart", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 158
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friends_bloc.dart", "Dart", 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 206
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friends_event.dart", "Dart", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 52
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friends_state.dart", "Dart", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 52
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friends_view.dart", "Dart", 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 247
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/invite_contacts.dart", "Dart", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 108
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/likes/likes_bloc.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 11, 95
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/likes/likes_event.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 39
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/likes/likes_state.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 38
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/likes/likes_view.dart", "Dart", 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 18, 428
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/crew/add_third_screen.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 69
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/crew/crew_request_bloc.dart", "Dart", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 124
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/crew/crew_request_event.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 54
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/crew/crew_request_screen.dart", "Dart", 442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 22, 527
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/crew/crew_request_state.dart", "Dart", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/match_list_screen.dart", "Dart", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 10, 217
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_bloc.dart", "Dart", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 15, 177
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_event.dart", "Dart", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 56
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_state.dart", "Dart", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 80
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_view.dart", "Dart", 606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 33, 660
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/edit_profile/edit_profile.dart", "Dart", 391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 25, 425
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/edit_profile/edit_profile_bloc.dart", "Dart", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 179
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/edit_profile/edit_profile_event.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 73
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/edit_profile/edit_profile_state.dart", "Dart", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 82
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view.dart", "Dart", 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 14, 313
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view_bloc.dart", "Dart", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 9, 124
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view_event.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view_state.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 64
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/onboarding_cubit.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/onboarding_navigator.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/onboarding_state.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/screens/contacts_screen.dart", "Dart", 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 346
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/screens/profile_photo_screen.dart", "Dart", 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 164
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/screens/update_profile_screen.dart", "Dart", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 215
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/intro_page_view.dart", "Dart", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 108
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_five.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_four.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_one.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_three.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_two.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/auth_cubit.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/auth_navigator.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 45
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/auth_state.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/dob/dob_bloc.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 40
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/dob/dob_event.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/dob/dob_state.dart", "Dart", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 65
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/dob/dob_view.dart", "Dart", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 114
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/name/name_bloc.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 36
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/name/name_event.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/name/name_state.dart", "Dart", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 26
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/name/name_view.dart", "Dart", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 103
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_auth_state.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_bloc.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_confirmation_screen.dart", "Dart", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 6, 106
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_event.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 22
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_state.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_view.dart", "Dart", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 107
"/Users/shanehogan/development/white_ui_supabase4/lib/session_navigation/session_cubit.dart", "Dart", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 84
"/Users/shanehogan/development/white_ui_supabase4/lib/session_navigation/session_navigator.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 56
"/Users/shanehogan/development/white_ui_supabase4/lib/session_navigation/session_state.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/shanehogan/development/white_ui_supabase4/pubspec.yaml", "YAML", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 55, 20, 112
"/Users/shanehogan/development/white_ui_supabase4/test/widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 31
"/Users/shanehogan/development/white_ui_supabase4/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 18, 7, 105
"/Users/shanehogan/development/white_ui_supabase4/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 36
"Total", "-", 10118, 40, 13, 88, 8, 12, 1, 123, 186, 80, 1213, 1074, 12956
